trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
52,07:54:00,07:54:00,106,20,0,0,35.8256
52,08:12:00,08:12:00,63,21,0,0,43.4205
53,07:34:00,07:34:00,67,1,0,0,0.0000
53,07:38:00,07:38:00,39472,2,0,0,1.8025
53,07:47:00,07:47:00,35,3,0,0,5.9223
53,07:53:00,07:53:00,34,4,0,0,9.8085
53,07:58:00,07:58:00,96,5,0,0,12.3152
53,08:01:00,08:01:00,20,6,0,0,14.1206
53,08:07:00,08:07:00,147,7,0,0,17.7104
53,08:11:00,08:11:00,69,8,0,0,19.9059
53,08:15:00,08:15:00,98,9,0,0,21.7928
53,08:18:00,08:18:00,39635,10,0,0,22.9356
53,08:21:00,08:21:00,72,11,0,0,24.7044
53,08:27:00,08:27:00,38081,12,0,0,26.8301
53,08:30:00,08:30:00,89,13,0,0,27.7148
53,08:32:00,08:32:00,150,14,0,0,28.8439
53,08:35:00,08:35:00,153,15,0,0,29.7172
53,08:38:00,08:38:00,152,16,0,0,30.5777
53,08:41:00,08:41:00,14,17,0,0,31.2047
53,08:44:00,08:44:00,50,18,0,0,31.7714
53,08:47:00,08:47:00,19,19,0,0,32.3687
53,08:54:00,08:54:00,106,20,0,0,35.8256
53,09:12:00,09:12:00,63,21,0,0,43.4205
54,07:15:00,07:15:00,34,1,0,0,0.0000
54,07:19:00,07:19:00,96,2,0,0,2.5066
54,07:23:00,07:23:00,20,3,0,0,4.3121
54,07:30:00,07:30:00,147,4,0,0,7.9019
54,07:34:00,07:34:00,69,5,0,0,10.0973
54,07:38:00,07:38:00,98,6,0,0,11.9843
54,07:41:00,07:41:00,39635,7,0,0,13.1271
54,07:45:00,07:45:00,72,8,0,0,14.8958
54,07:51:00,07:51:00,38081,9,0,0,17.0216
54,07:57:00,07:57:00,153,10,0,0,19.8445
54,08:02:00,08:02:00,14,11,0,0,21.3214
54,08:12:00,08:12:00,106,12,0,0,25.9415
54,08:28:00,08:28:00,63,13,0,0,33.5364
55,06:16:00,06:16:00,93,1,0,0,0.0000
55,06:21:00,06:21:00,101,2,0,0,1.3964
55,06:25:00,06:25:00,67,3,0,0,3.6176
55,06:29:00,06:29:00,39472,4,0,0,5.4201
55,06:38:00,06:38:00,35,5,0,0,9.5400
55,06:44:00,06:44:00,34,6,0,0,13.4261
55,06:49:00,06:49:00,96,7,0,0,15.9328
55,06:52:00,06:52:00,20,8,0,0,17.7383
55,06:59:00,06:59:00,147,9,0,0,21.3280
55,07:03:00,07:03:00,69,10,0,0,23.5235
55,07:07:00,07:07:00,98,11,0,0,25.4104
55,07:10:00,07:10:00,39635,12,0,0,26.5532
55,07:13:00,07:13:00,72,13,0,0,28.3220
55,07:20:00,07:20:00,38081,14,0,0,30.4477
55,07:29:00,07:29:00,14,15,0,0,34.7413
55,07:39:00,07:39:00,106,16,0,0,39.3614
55,07:56:00,07:56:00,63,17,0,0,46.9562
56,07:25:00,07:25:00,67,1,0,0,0.0000
56,07:29:00,07:29:00,39472,2,0,0,1.8025
56,07:37:00,07:37:00,35,3,0,0,5.9223
56,07:44:00,07:44:00,34,4,0,0,9.8085
56,07:49:00,07:49:00,96,5,0,0,12.3152
56,07:52:00,07:52:00,20,6,0,0,14.1206
56,07:58:00,07:58:00,147,7,0,0,17.7104
56,08:02:00,08:02:00,69,8,0,0,19.9059
56,08:06:00,08:06:00,98,9,0,0,21.7928
